vehicle_id,label,avg_speed_kmh,start_frame,end_frame,start_time_s,end_time_s
271,tricycle,0.4,25490,25593,424.833,426.55
265,van,8.5,25038,26578,417.3,442.967
276,motor,0.4,25682,25791,428.033,429.85
249,car,10.8,23771,26686,396.183,444.767
283,van,1.4,26676,26688,444.6,444.8
278,van,15.0,25759,26720,429.317,445.333
279,tricycle,0.4,25857,26021,430.95,433.683
253,van,12.9,24038,26958,400.633,449.3
284,motor,0.6,26968,26990,449.467,449.833
257,van,18.2,24660,27059,411.0,450.983
286,motor,1.3,27165,27169,452.75,452.817
288,truck,212.2,27223,27225,453.717,453.75
285,bus,12.7,26990,27233,449.833,453.883
260,van,17.8,24921,27243,415.35,454.05
290,motor,42.1,27229,27243,453.817,454.05
292,motor,8.8,27239,27245,453.983,454.083
293,car,14.9,27247,27253,454.117,454.217
287,motor,32.2,27209,27275,453.483,454.583
291,motor,17.4,27237,27295,453.95,454.917
290,motor,21.6,27296,27365,454.933,456.083
266,van,22.7,25040,27393,417.333,456.55
266,van,3.0,27452,27453,457.533,457.55
281,tricycle,1.1,26394,26590,439.9,443.167
268,van,26.4,25283,27467,421.383,457.783
289,truck,23.5,27229,27469,453.817,457.817
297,car,22.5,27347,27475,455.783,457.917
299,motor,32.3,27369,27489,456.15,458.15
301,truck,35.9,27485,27493,458.083,458.217
302,tricycle,1.6,27503,27569,458.383,459.483
300,motor,33.0,27409,27591,456.817,459.85
282,van,23.6,26518,27617,441.967,460.283
294,van,18.7,27263,27693,454.383,461.55
304,car,26.5,27507,27700,458.45,461.667
308,motor,0.2,27756,27812,462.6,463.533
303,van,28.5,27505,27854,458.417,464.233
308,tricycle,0.6,27867,27872,464.45,464.533
307,van,35.2,27679,27988,461.317,466.467
306,car,38.3,27659,28066,460.983,467.767
311,van,43.1,27986,28206,466.433,470.1
313,car,3.1,28200,28208,470.0,470.133
314,motor,2.2,28251,28254,470.85,470.9
310,van,28.7,27924,28292,465.4,471.533
