frame,time_s,vehicle_id,x_m,y_m,img_x,img_y,lane_id
1086,18.1,1,1.221,9.028,682.2,540.7,1
1087,18.117,1,1.246,8.876,684.1,540.3,1
1088,18.133,1,1.245,8.876,684.1,540.3,1
1089,18.15,1,1.189,8.785,685.0,539.3,1
1090,18.167,1,1.189,8.786,684.9,539.3,1
1091,18.183,1,1.212,8.633,686.8,538.9,1
1092,18.2,1,1.212,8.633,686.8,538.9,1
1093,18.217,1,1.185,8.473,688.6,537.9,1
1094,18.233,1,1.185,8.473,688.6,537.9,1
1095,18.25,1,1.168,8.376,689.7,537.3,1
1096,18.267,1,1.169,8.376,689.7,537.3,1
1097,18.283,1,1.184,8.252,691.2,536.9,1
1098,18.3,1,1.184,8.253,691.2,536.9,1
1099,18.317,1,1.165,8.125,692.6,536.2,1
1100,18.333,1,1.165,8.125,692.6,536.2,1
1101,18.35,1,1.136,8.011,693.8,535.4,1
1102,18.367,1,1.136,8.011,693.8,535.4,1
1103,18.383,1,1.146,7.867,695.6,534.9,1
1104,18.4,1,1.146,7.867,695.6,534.9,1
1105,18.417,1,1.157,7.765,696.8,534.5,1
1106,18.433,1,1.157,7.765,696.8,534.5,1
1107,18.45,1,1.204,7.603,698.9,534.3,1
1108,18.467,1,1.203,7.603,698.8,534.3,1
1109,18.483,1,1.212,7.424,701.0,533.6,1
1110,18.5,1,1.212,7.424,701.0,533.6,1
1111,18.517,1,1.144,7.216,703.2,532.0,1
1112,18.533,1,1.144,7.216,703.2,532.0,1
1113,18.55,1,1.185,7.156,704.0,532.2,1
1114,18.567,1,1.184,7.156,704.0,532.2,1
1115,18.583,1,1.252,7.069,705.3,532.5,1
1116,18.6,1,1.252,7.068,705.3,532.5,1
1117,18.617,1,1.269,6.962,706.6,532.2,1
1118,18.633,1,1.269,6.962,706.6,532.2,1
1119,18.65,1,1.287,6.861,707.8,531.9,1
1120,18.667,1,1.287,6.861,707.8,531.9,1
1121,18.683,1,1.308,6.816,708.4,531.9,1
1122,18.7,1,1.308,6.816,708.4,531.9,1
1123,18.717,1,1.319,6.702,709.8,531.5,1
1124,18.733,1,1.319,6.702,709.8,531.5,1
1125,18.75,1,1.316,6.563,711.4,530.9,1
1126,18.767,1,1.316,6.563,711.4,530.9,1
1127,18.783,1,1.352,6.462,712.7,530.8,1
1128,18.8,1,1.353,6.462,712.7,530.8,1
1129,18.817,1,1.356,6.398,713.5,530.6,1
1130,18.833,1,1.356,6.399,713.4,530.6,1
1131,18.85,1,1.293,6.272,714.7,529.4,1
1132,18.867,1,1.292,6.272,714.7,529.4,1
1133,18.883,1,1.314,6.171,716.0,529.2,1
1134,18.9,1,1.314,6.17,716.0,529.2,1
1135,18.917,1,1.316,6.085,717.0,528.8,1
1136,18.933,1,1.316,6.085,717.0,528.8,1
1137,18.95,1,1.339,6.02,717.8,528.8,1
1138,18.967,1,1.338,6.02,717.8,528.8,1
1139,18.983,1,1.29,5.988,718.0,528.1,1
1140,19.0,1,1.29,5.988,718.0,528.1,1
1141,19.017,1,1.33,5.885,719.3,528.1,1
1142,19.033,1,1.331,5.885,719.3,528.1,1
1143,19.05,1,1.272,5.856,719.5,527.4,1
1144,19.067,1,1.273,5.856,719.5,527.4,1
1145,19.083,1,1.259,5.768,720.5,526.8,1
1146,19.1,1,1.259,5.768,720.5,526.9,1
1147,19.117,1,1.192,5.663,721.5,525.7,1
1148,19.133,1,1.192,5.663,721.5,525.7,1
1149,19.15,1,1.177,5.586,722.3,525.2,1
1150,19.167,1,1.177,5.586,722.3,525.2,1
1151,19.183,1,1.189,5.471,723.7,524.8,1
1152,19.2,1,1.189,5.472,723.7,524.8,1
1153,19.217,1,1.179,5.461,723.8,524.7,1
1154,19.233,1,1.18,5.461,723.8,524.7,1
1155,19.25,1,1.22,5.412,724.5,524.9,1
1156,19.267,1,1.22,5.412,724.5,524.9,1
1157,19.283,1,1.217,5.423,724.3,524.9,1
1158,19.3,1,1.217,5.423,724.3,524.9,1
1159,19.317,1,1.211,5.382,724.8,524.7,1
1160,19.333,1,1.212,5.382,724.8,524.7,1
1161,19.35,1,1.222,5.374,724.9,524.8,1
1162,19.367,1,1.223,5.373,724.9,524.8,1
1163,19.383,1,1.237,5.36,725.1,524.9,1
1164,19.4,1,1.238,5.361,725.1,524.9,1
1165,19.417,1,1.252,5.333,725.5,524.9,1
1166,19.433,1,1.252,5.333,725.5,524.9,1
1167,19.45,1,1.265,5.29,726.1,524.8,1
1168,19.467,1,1.265,5.29,726.1,524.8,1
1169,19.483,1,1.266,5.266,726.3,524.7,1
1170,19.5,1,1.266,5.266,726.3,524.7,1
1171,19.517,1,1.27,5.281,726.2,524.8,1
1172,19.533,1,1.271,5.281,726.2,524.8,1
1173,19.55,1,1.284,5.266,726.4,524.9,1
1174,19.567,1,1.286,5.263,726.5,524.9,1
1175,19.583,1,1.288,5.256,726.5,524.9,1
1176,19.6,1,1.288,5.255,726.5,524.9,1
1177,19.617,1,1.286,5.232,726.8,524.8,1
1178,19.633,1,1.286,5.233,726.8,524.8,1
1179,19.65,1,1.258,5.248,726.5,524.6,1
1180,19.667,1,1.258,5.247,726.5,524.6,1
1181,19.683,1,1.311,5.221,727.0,525.0,1
1182,19.7,1,1.311,5.221,727.0,525.0,1
1183,19.717,1,1.328,5.238,726.9,525.2,1
1184,19.733,1,1.328,5.238,726.9,525.2,1
1185,19.75,1,1.32,5.231,726.9,525.1,1
1186,19.767,1,1.32,5.231,726.9,525.1,1
1187,19.783,1,1.356,5.235,727.0,525.5,1
1188,19.8,1,1.356,5.235,727.0,525.5,1
1189,19.817,1,1.359,5.261,726.7,525.7,1
1190,19.833,1,1.359,5.261,726.7,525.7,1
1191,19.85,1,1.359,5.241,727.0,525.6,1
1192,19.867,1,1.358,5.25,726.9,525.6,1
1193,19.883,1,1.364,5.265,726.7,525.7,1
1194,19.9,1,1.364,5.265,726.7,525.7,1
1195,19.917,1,1.377,5.242,727.0,525.8,1
1196,19.933,1,1.376,5.242,727.0,525.8,1
1197,19.95,1,1.31,5.141,727.9,524.6,1
1198,19.967,1,1.408,5.228,727.3,526.0,1
1199,19.983,1,1.392,5.236,727.1,525.9,1
1200,20.0,1,1.368,5.188,727.6,525.4,1
1201,20.017,1,1.339,5.269,726.6,525.5,1
1202,20.033,1,1.342,5.268,726.6,525.5,1
1203,20.05,1,1.339,5.253,726.7,525.4,1
1204,20.067,1,1.339,5.253,726.7,525.4,1
1205,20.083,1,1.337,5.175,727.7,525.1,1
1206,20.1,1,1.337,5.175,727.6,525.1,1
1207,20.117,1,1.344,5.156,727.9,525.1,1
1208,20.133,1,1.344,5.155,727.9,525.0,1
1209,20.15,1,1.319,5.137,728.0,524.7,1
1210,20.167,1,1.319,5.136,728.0,524.7,1
1211,20.183,1,1.314,5.128,728.1,524.6,1
1212,20.2,1,1.312,5.133,728.1,524.6,1
1213,20.217,1,1.307,5.135,728.0,524.6,1
1214,20.233,1,1.307,5.137,728.0,524.6,1
1215,20.25,1,1.413,5.224,727.3,526.1,1
1216,20.267,1,1.326,5.107,728.4,524.6,1
1217,20.283,1,1.312,5.098,728.5,524.5,1
1218,20.3,1,1.312,5.098,728.5,524.5,1
1219,20.317,1,1.305,5.063,728.8,524.2,1
1220,20.333,1,1.305,5.063,728.8,524.2,1
1221,20.35,1,1.304,5.112,728.3,524.5,1
1222,20.367,1,1.304,5.111,728.3,524.4,1
1223,20.383,1,1.296,5.074,728.7,524.2,1
1224,20.4,1,1.297,5.07,728.7,524.2,1
1225,20.417,1,1.289,5.083,728.6,524.2,1
1226,20.433,1,1.289,5.082,728.6,524.2,1
1227,20.45,1,1.294,5.092,728.5,524.3,1
1228,20.467,1,1.293,5.093,728.5,524.3,1
1229,20.483,1,1.286,5.063,728.8,524.1,1
1230,20.5,1,1.286,5.063,728.8,524.1,1
1231,20.517,1,1.289,5.084,728.5,524.2,1
1232,20.533,1,1.288,5.084,728.5,524.2,1
1233,20.55,1,1.275,5.088,728.5,524.0,1
1234,20.567,1,1.275,5.087,728.5,524.0,1
1235,20.583,1,1.273,5.091,728.4,524.0,1
1236,20.6,1,1.272,5.092,728.4,524.0,1
1237,20.617,1,1.27,5.073,728.6,523.9,1
1238,20.633,1,1.27,5.072,728.6,523.9,1
1239,20.65,1,1.263,5.073,728.6,523.9,1
1240,20.667,1,1.265,5.07,728.6,523.9,1
1241,20.683,1,1.242,5.014,729.2,523.4,1
1242,20.7,1,1.241,5.019,729.1,523.4,1
1243,20.717,1,1.242,5.054,728.7,523.6,1
1244,20.733,1,1.242,5.054,728.7,523.6,1
1245,20.75,1,1.251,5.035,729.0,523.6,1
1246,20.767,1,1.251,5.035,729.0,523.6,1
1247,20.783,1,1.258,5.026,729.1,523.6,1
1248,20.8,1,1.257,5.026,729.1,523.6,1
1249,20.817,1,1.26,5.039,729.0,523.7,1
1250,20.833,1,1.268,5.054,728.8,523.8,1
1251,20.85,1,1.283,5.054,728.9,524.0,1
1252,20.867,1,1.282,5.055,728.9,524.0,1
1253,20.883,1,1.268,5.029,729.1,523.7,1
1254,20.9,1,1.269,5.029,729.1,523.7,1
1255,20.917,1,1.273,4.996,729.5,523.6,1
1256,20.933,1,1.274,4.997,729.5,523.6,1
1257,20.95,1,1.272,4.991,729.6,523.6,1
1258,20.967,1,1.272,4.991,729.6,523.6,1
1259,20.983,1,1.272,5.015,729.3,523.7,1
1260,21.0,1,1.273,5.015,729.3,523.7,1
1261,21.017,1,1.271,5.021,729.2,523.7,1
1262,21.033,1,1.271,5.022,729.2,523.7,1
1263,21.05,1,1.274,5.025,729.2,523.8,1
1264,21.067,1,1.275,5.027,729.2,523.8,1
1265,21.083,1,1.279,5.036,729.1,523.9,1
1266,21.1,1,1.279,5.035,729.1,523.9,1
1267,21.117,1,1.282,5.047,729.0,523.9,1
1268,21.133,1,1.282,5.047,729.0,523.9,1
1269,21.15,1,1.268,5.005,729.4,523.6,1
1270,21.167,1,1.268,5.005,729.4,523.6,1
1271,21.183,1,1.277,5.003,729.4,523.7,1
1272,21.2,1,1.281,5.004,729.4,523.7,1
1273,21.217,1,1.276,5.003,729.4,523.7,1
1274,21.233,1,1.275,5.007,729.4,523.7,1
1275,21.25,1,1.261,4.988,729.6,523.5,1
1276,21.267,1,1.261,4.988,729.6,523.5,1
1277,21.283,1,1.301,4.96,730.0,523.8,1
1278,21.3,1,1.303,4.961,730.0,523.8,1
1279,21.317,1,1.266,4.967,729.8,523.4,1
1280,21.333,1,1.267,4.967,729.8,523.4,1
1281,21.35,1,1.258,4.951,730.0,523.3,1
1282,21.367,1,1.255,4.95,730.0,523.2,1
1283,21.383,1,1.265,4.952,730.0,523.3,1
1284,21.4,1,1.266,4.952,730.0,523.4,1
1285,21.417,1,1.256,4.97,729.8,523.3,1
1286,21.433,1,1.256,4.97,729.8,523.3,1
1287,21.45,1,1.274,4.963,729.9,523.5,1
1288,21.467,1,1.274,4.964,729.9,523.5,1
1289,21.483,1,1.276,4.969,729.8,523.5,1
1290,21.5,1,1.277,4.968,729.8,523.5,1
1291,21.517,1,1.278,4.943,730.1,523.4,1
1292,21.533,1,1.278,4.942,730.2,523.4,1
1293,21.55,1,1.284,4.932,730.3,523.5,1
1294,21.567,1,1.284,4.932,730.3,523.5,1
1295,21.583,1,1.276,4.903,730.6,523.3,1
1296,21.6,1,1.278,4.902,730.6,523.3,1
1297,21.617,1,1.287,4.899,730.7,523.3,1
1298,21.633,1,1.286,4.899,730.7,523.3,1
1299,21.65,1,1.286,4.884,730.9,523.3,1
1300,21.667,1,1.288,4.886,730.8,523.3,1
1301,21.683,1,1.285,4.888,730.8,523.3,1
1302,21.7,1,1.285,4.888,730.8,523.3,1
1303,21.717,1,1.297,4.933,730.3,523.6,1
1304,21.733,1,1.296,4.932,730.3,523.6,1
1305,21.75,1,1.285,5.006,729.4,523.8,1
1306,21.767,1,1.285,5.006,729.4,523.8,1
1307,21.783,1,1.261,4.99,729.5,523.5,1
1308,21.8,1,1.262,4.989,729.6,523.5,1
1309,21.817,1,1.283,5.006,729.4,523.8,1
1310,21.833,1,1.284,5.006,729.4,523.8,1
1311,21.85,1,1.283,4.994,729.6,523.7,1
1312,21.867,1,1.283,4.991,729.6,523.7,1
1313,21.883,1,1.28,4.982,729.7,523.6,1
1314,21.9,1,1.28,4.983,729.7,523.6,1
1315,21.917,1,1.289,4.969,729.9,523.7,1
1316,21.933,1,1.29,4.969,729.9,523.7,1
1317,21.95,1,1.277,4.962,729.9,523.5,1
1318,21.967,1,1.277,4.962,729.9,523.5,1
1319,21.983,1,1.287,4.961,730.0,523.6,1
1320,22.0,1,1.281,4.955,730.0,523.5,1
1321,22.017,1,1.3,4.931,730.4,523.6,1
1322,22.033,1,1.304,4.932,730.4,523.7,1
