step,queue,reward,waiting_time,avg_speed,throughput
3350,8.0,-33774.76499999994,195.0,2.8346547494064147,0
3400,2.0,-34308.60499999996,89.0,8.338318480556202,2
3450,7.000000000000001,-34830.23999999997,329.0,2.9994689173232265,0
3500,2.0,-35269.56999999996,127.0,6.890621174152963,1
3550,7.000000000000001,-35889.80499999996,581.0,2.8465591548814446,1
3600,4.0,-36230.50499999994,118.0,4.975958220658877,0
3650,3.0000000000000004,-36918.634999999915,48.0,5.942001567507091,1
3700,5.0,-37232.69499999991,32.0,4.41139493833739,2
3750,2.0,-37861.51999999992,48.0,7.309482925016422,1
3800,8.0,-38308.00999999989,192.0,2.7360056468213587,0
3850,3.0000000000000004,-38835.35999999989,84.0,7.385680555609175,0
3900,7.000000000000001,-39365.55999999991,381.0,3.2280757334931525,0
3950,2.0,-39800.314999999915,126.0,7.066038652224545,0
4000,7.000000000000001,-40431.169999999925,582.0,2.7394393833077793,1
4050,4.0,-40776.83499999993,124.0,5.068310232985978,1
4100,3.0000000000000004,-41464.354999999945,46.0,6.176733956919571,0
4150,6.0,-41785.36999999995,50.0,4.069272278182455,1
4200,2.0,-42412.74499999996,53.0,7.581530138621533,3
4250,8.0,-42836.46999999994,167.0,3.191685188853684,0
4300,2.0,-43364.46499999994,87.0,7.245730984314813,1
4350,6.000000000000001,-43903.429999999935,365.0,2.8183254218675087,1
4400,2.0,-44338.56999999995,132.0,7.320795841968157,1
4450,6.000000000000001,-44974.65499999995,551.0,3.053146567863243,0
4500,4.0,-45324.52499999995,127.0,6.161224640645666,0
4550,3.0000000000000004,-46015.93999999992,53.0,5.919493983340538,0
4600,6.0,-46337.75499999993,30.0,4.2259924969030145,0
4650,2.0,-46966.53499999993,44.0,7.61362724094396,1
4700,8.0,-47376.34499999993,159.0,3.0104198581514234,0
4750,3.0000000000000004,-47903.98499999995,82.0,7.952248880281309,2
4800,6.000000000000001,-48439.70999999995,332.0,3.0931818201594057,0
4850,2.0,-48869.974999999955,122.0,7.226560745251473,1
