frame,time_s,vehicle_id,x_m,y_m,img_x,img_y,lane_id
36,1.2,8,1.422,21.181,1394.1,1062.7,5
37,1.233,1,27.073,22.014,1263.0,827.3,5
37,1.233,3,26.359,16.858,1209.7,829.6,5
37,1.233,2,36.917,21.074,1209.0,752.8,5
37,1.233,5,36.853,16.727,1163.4,749.7,5
37,1.233,6,38.941,6.131,1040.1,725.5,2
37,1.233,7,10.124,21.189,1341.9,974.5,5
37,1.233,4,27.078,9.098,1118.4,818.5,3
37,1.233,8,1.422,21.182,1394.2,1062.7,5
38,1.266,1,27.039,21.999,1263.0,827.6,5
38,1.266,3,26.364,16.854,1209.6,829.6,5
38,1.266,2,36.93,21.087,1209.0,752.7,5
38,1.266,5,36.876,16.751,1163.6,749.6,5
38,1.266,6,38.962,6.132,1040.1,725.4,2
38,1.266,7,10.135,21.186,1341.8,974.4,5
38,1.266,4,27.202,9.109,1118.0,817.5,3
38,1.266,8,1.425,21.189,1394.2,1062.6,5
39,1.3,1,27.045,21.987,1262.9,827.5,5
39,1.3,3,26.39,16.869,1209.7,829.4,5
39,1.3,2,36.921,21.075,1208.9,752.8,5
39,1.3,5,36.888,16.748,1163.5,749.5,5
39,1.3,6,38.962,6.139,1040.1,725.4,2
39,1.3,7,10.134,21.184,1341.7,974.4,5
39,1.3,4,27.282,9.106,1117.7,816.9,3
39,1.3,8,1.425,21.19,1394.2,1062.6,5
40,1.333,1,27.08,22.002,1262.8,827.3,5
40,1.333,3,26.393,16.869,1209.7,829.4,5
40,1.333,2,36.914,21.073,1209.0,752.8,5
40,1.333,5,36.882,16.746,1163.5,749.5,5
40,1.333,6,38.962,6.136,1040.1,725.4,2
40,1.333,7,10.142,21.189,1341.8,974.3,5
40,1.333,4,27.275,9.1,1117.7,816.9,3
40,1.333,8,1.428,21.191,1394.2,1062.6,5
41,1.366,1,27.083,22.002,1262.8,827.3,5
41,1.366,3,26.403,16.863,1209.6,829.3,5
41,1.366,2,36.916,21.066,1208.9,752.8,5
